source_file_path,source_class_name,source_function_name,reference_file_path,reference_class_name,reference_function_name
clubjt_impl/api/user/service/address.py,AddressService,find_address,clubjt_impl/api/user_handler.py,,find_address
clubjt_impl/api/user/service/address.py,AddressService,,clubjt_impl/api/user_handler.py,,find_address
clubjt_impl/api/user/service/address.py,AddressService,,clubjt_impl/api/user_handler.py,,find_address
clubjt_impl/api/user/service/address.py,AddressService,register_address,clubjt_impl/api/user_handler.py,,register_address
clubjt_impl/api/user/service/address.py,AddressService,,clubjt_impl/api/user_handler.py,,register_address
clubjt_impl/api/user/service/address.py,AddressService,,clubjt_impl/api/user_handler.py,,register_address
clubjt_impl/api/user/service/address.py,AddressService,update_address,clubjt_impl/api/user_handler.py,,update_address
clubjt_impl/api/user/service/address.py,AddressService,,clubjt_impl/api/user_handler.py,,update_address
clubjt_impl/api/user/service/address.py,AddressService,,clubjt_impl/api/user_handler.py,,update_address
clubjt_impl/api/user/service/address.py,AddressService,find_cleansing_address,clubjt_impl/api/user_handler.py,,find_cleansing_address
clubjt_impl/api/user/service/address.py,AddressService,,clubjt_impl/api/user_handler.py,,find_cleansing_address
clubjt_impl/api/user/service/address.py,AddressService,,clubjt_impl/api/user_handler.py,,find_cleansing_address
clubjt_impl/api/user/service/address.py,AddressService,check_name_and_address,clubjt_impl/api/user_handler.py,,check_name_and_address
clubjt_impl/api/user/service/address.py,AddressService,,clubjt_impl/api/user_handler.py,,check_name_and_address
clubjt_impl/api/user/service/address.py,AddressService,,clubjt_impl/api/user_handler.py,,check_name_and_address
clubjt_impl/api/user/service/address.py,AddressService,validate_cjk,clubjt_impl/api/user/service/address.py,AddressService,validate_input_user_last_name
clubjt_impl/api/user/service/address.py,AddressService,,clubjt_impl/api/user/service/address.py,AddressService,validate_input_user_last_name
clubjt_impl/api/user/service/address.py,AddressService,validate_encode,clubjt_impl/api/user/service/address.py,AddressService,validate_input_user_last_name
clubjt_impl/api/user/service/address.py,AddressService,,clubjt_impl/api/user/service/address.py,AddressService,validate_input_user_last_name
clubjt_impl/api/user/service/address.py,AddressService,replace_except_char,clubjt_impl/api/user/service/address.py,AddressService,validate_encode
clubjt_impl/api/user/service/address.py,AddressService,,clubjt_impl/api/user/service/address.py,AddressService,validate_encode
clubjt_impl/api/user/service/address.py,AddressService,validate_input_zip_code,clubjt_impl/api/user/service/address.py,AddressService,validate_input_zip_code_and_address
clubjt_impl/api/user/service/address.py,AddressService,,clubjt_impl/api/user/service/address.py,AddressService,validate_input_zip_code_and_address
clubjt_impl/api/user/service/address.py,AddressService,validate_cjk,clubjt_impl/api/user/service/address.py,AddressService,validate_input_zip_code_and_address
