"module","http_method","path","operation_id","file_path","class_name","function_name","error_class_name","status_code","reason","message"
"user_handler","GET","/accessToken","issue_access_token_for_native_app","clubjt_impl/entity_base.py","AbstractTable","create","ClubjtError","409","指定されたレコードは作成できません({self.table_name}:{self.partition_key}={getattr(data, self.partition_key)})","ただいま混み合っております。 誠に申し訳ございませんが、しばらくしてからもう一度やり直してください。"
"user_handler","GET","/accessToken","issue_access_token_for_native_app","clubjt_impl/entity_base.py","AbstractTable","get","ClubjtError","404","指定されたレコードは存在しません({self.table_name}:{self.partition_key}={partition_key})","ただいま混み合っております。 誠に申し訳ございませんが、しばらくしてからもう一度やり直してください。"
"user_handler","GET","/accessToken","issue_access_token_for_native_app","clubjt_impl/external_service/auth0_client.py","Auth0Client","_get_jwts","ClubjtError","500","認証エラー・jwks.json読み込みエラー","ただいま混み合っております。 誠に申し訳ございませんが、しばらくしてからもう一度やり直してください。"
"user_handler","GET","/accessToken","issue_access_token_for_native_app","clubjt_impl/external_service/auth0_client.py","Auth0Client","_verify_jwt","ClubjtError","403","認証エラー（id_token Verify失敗）","ただいま混み合っております。 誠に申し訳ございませんが、しばらくしてからもう一度やり直してください。"
"user_handler","GET","/accessToken","issue_access_token_for_native_app","clubjt_impl/external_service/auth0_client.py","Auth0Client","_get_jwks_json","ClubjtError","500","認証エラー（auth0アクセスエラー: /.well-known/jwks.json）","ただいま混み合っております。 誠に申し訳ございませんが、しばらくしてからもう一度やり直してください。"
"user_handler","GET","/accessToken","issue_access_token_for_native_app","clubjt_impl/util/crypt_util.py","CryptUtil","get_decrypt_user_id","ClubjtError","403","内部ID復号エラー（内部ID={user_id}","ただいま混み合っております。 誠に申し訳ございませんが、しばらくしてからもう一度やり直してください。"
"user_handler","GET","/accessToken","issue_access_token_for_native_app","clubjt_impl/util/secrets_manager_util.py","SecretsManagerUtil","get_secret_values","ClubjtError","500","SecretsManagerが使用できません（{secret_id}）","ただいま混み合っております。 誠に申し訳ございませんが、しばらくしてからもう一度やり直してください。"
"user_handler","GET","/accessToken","issue_access_token_for_native_app","clubjt_impl/api/user_handler_util.py","","verify_authorization","ClubjtError","500","内部ID不一致:{access_token_entity.userId}/{user_id}","ただいま混み合っております。 誠に申し訳ございませんが、しばらくしてからもう一度やり直してください。"
"user_handler","GET","/accessToken","issue_access_token_for_native_app","clubjt_impl/api/user/service/access_token.py","AccessTokenService","issue_access_token_for_native_app","ClubjtError","500","アクセストークン・auth_client_idヘッダー未指定","ただいま混み合っております。 誠に申し訳ございませんが、しばらくしてからもう一度やり直してください。"
"user_handler","POST","/accessToken","issue_access_token_for_internal","clubjt_impl/entity_base.py","AbstractTable","create","ClubjtError","409","指定されたレコードは作成できません({self.table_name}:{self.partition_key}={getattr(data, self.partition_key)})","ただいま混み合っております。 誠に申し訳ございませんが、しばらくしてからもう一度やり直してください。"
"user_handler","POST","/accessToken","issue_access_token_for_internal","clubjt_impl/entity_base.py","AbstractTable","get","ClubjtError","404","指定されたレコードは存在しません({self.table_name}:{self.partition_key}={partition_key})","ただいま混み合っております。 誠に申し訳ございませんが、しばらくしてからもう一度やり直してください。"
"user_handler","POST","/accessToken","issue_access_token_for_internal","clubjt_impl/util/crypt_util.py","CryptUtil","get_decrypt_user_id","ClubjtError","403","内部ID復号エラー（内部ID={user_id}","ただいま混み合っております。 誠に申し訳ございませんが、しばらくしてからもう一度やり直してください。"
"user_handler","POST","/accessToken","issue_access_token_for_internal","clubjt_impl/util/secrets_manager_util.py","SecretsManagerUtil","get_secret_values","ClubjtError","500","SecretsManagerが使用できません（{secret_id}）","ただいま混み合っております。 誠に申し訳ございませんが、しばらくしてからもう一度やり直してください。"
"user_handler","POST","/accessToken","issue_access_token_for_internal","clubjt_impl/api/user_handler_util.py","","verify_authorization","ClubjtError","500","内部ID不一致:{access_token_entity.userId}/{user_id}","ただいま混み合っております。 誠に申し訳ございませんが、しばらくしてからもう一度やり直してください。"
"user_handler","POST","/accessToken","issue_access_token_for_internal","clubjt_impl/api/user/service/access_token.py","AccessTokenService","issue_access_token","ClubjtError","400","トークン発行・内部ID未指定","ただいま混み合っております。 誠に申し訳ございませんが、しばらくしてからもう一度やり直してください。"
"user_handler","POST","/account","apply_account","clubjt_impl/entity_base.py","AbstractTable","get","ClubjtError","404","指定されたレコードは存在しません({self.table_name}:{self.partition_key}={partition_key})","ただいま混み合っております。 誠に申し訳ございませんが、しばらくしてからもう一度やり直してください。"
"user_handler","POST","/account","apply_account","clubjt_impl/external_service/zipcloud_api_client.py","ZipcloudApiClient","get_address","ClubjtError","","Zipcloud接続エラー","ただいま混み合っております。 誠に申し訳ございませんが、しばらくしてからもう一度やり直してください。"
"user_handler","POST","/account","apply_account","clubjt_impl/util/crypt_util.py","CryptUtil","get_decrypt_user_id","ClubjtError","403","内部ID復号エラー（内部ID={user_id}","ただいま混み合っております。 誠に申し訳ございませんが、しばらくしてからもう一度やり直してください。"
"user_handler","POST","/account","apply_account","clubjt_impl/util/secrets_manager_util.py","SecretsManagerUtil","get_secret_values","ClubjtError","500","SecretsManagerが使用できません（{secret_id}）","ただいま混み合っております。 誠に申し訳ございませんが、しばらくしてからもう一度やり直してください。"
"user_handler","POST","/account","apply_account","clubjt_impl/module/user/service/user.py","UserService","find_user_id","ClubjtModuleError","400","電話番号または住所を入力してください。","ただいま混み合っております。 誠に申し訳ございませんが、しばらくしてからもう一度やり直してください。"
